Awards,Messi,Ronaldo
Ballon D'OR,7,5
EUROPEAN GOLDEN SHOE,6,4
FIFA WORLD PLAYER OF THE YEAR,7,5
FIFA World Cup Golden Ball,2,0
FIFA World Cup Silver Boot,1,0
UEFA Euros Golden Boot,0,1
UEFA Euros Silver Boot,0,1
Copa America Golden Ball,2,0
Copa America Golden Boot,1,0
Copa America Best Young Player,1,0
UEFA Nations League Finals Golden Boot,0,1
UEFA Nations League Finals Goal of the Tournament,0,1
Champions League Top Scorer,6,7
La Liga Top Scorer (Pichichi),8,3
Premier League Top Scorer,0,1
Serie A Top Scorer,0,1
FIFA World Player of the Year 2nd Place,7,6
FIFA World Player of the Year 3rd Place,1,2
FIFA The Best Special Award (for international goals record),0,1
Ballon d'Or 2nd Place (Silver Ball),5,6
Ballon d'Or 3rd Place (Bronze Ball),1,1
Ballon d'Or Dream Team (one0off),1,1
Ballon d'Or Nominations,15,18
Golden Boy (UEFA Young Player of the Year),1,0
Laureus Award 0 Sportsman of the year,1,0
L'Équipe Champion of Champions,2,0
UEFA Club Footballer of the Year (9702010),1,1
UEFA Best Player (20110),2,3
UEFA Best Forward in Europe,2,3
La Liga Best Player (08016),6,1
La Liga Best Forward (08016),7,1
La Liga Fans Five0Star Player (14016),0,1
La Liga Most Valuable Player (presented once),0,1
La Liga Best Goal,0,1
Trofeo Alfredo Di Stefano (La Liga Best Player by Marca),7,4
Mundo Deportivo La Liga MVP (from 17/18),3,0
Serie A Footballer of the Year (AIC),0,2
Serie A Best Forward (AIC),0,2
Serie A MVP,0,1
Serie A Best Striker,0,1
Premier League Player of the Season,0,2
PFA Players' Player of the Year,0,2
PFA Fans' Player of the Year,0,2
FWA Footballer of the Year (Writer's EPL Player of the Season),0,2
Premier League Young Player of the Year,0,1
FIFPro World Player of the Year (200502008),0,1
FIFPro Young Player of the Year,1,0
FIFPro Fans Young Player of the Year,0,1
FIFPro Special Young Player of the Year (fan voted),0,1
FIFPro World XI Appearances,16,15
FIFA Puskas Award,0,1
FIFA Puskas Award Nominations,7,2
UEFA.com Goal of the Season,3,2
UEFA Technical Observers Best Goal of the Season,1,3
Bravo Award by Guerin Sportivo,1,1
Onze d'Or by Onze Mondial,4,2
World Soccer Best Player,6,5
Guardian Top 100 Best Player,6,2
Golden Foot,0,1
IFFHS World's Best Player (given since 2020),1,0
IFFHS World's Best Top Goal Scorer,2,4
IFFHS World's World's Best International Goal Scorer,3,5
IFFHS World's Best Top Division Goal Scorer,4,3
IFFHS World's Best Playmaker,5,0
IFFHS World's Best Man Player of the Decade,1,0
IFFHS World's Best Playmaker of the Decade,1,0
IFFHS World's Best Top Goal Scorer of the Decade,0,1
IFFHS World's Best National Goal Scorer of the Decade,1,0
IFFHS World's Best National Goal Scorer of XXI Century,0,1
IFFHS World's Best International Goal Scorer of XXI Century,0,1
IFFHS World's Best Top Goal Scorer of XXI Century,0,1
IFFHS All Time World's Best One Club Goal Scorer,1,0
IFFHS Best Player in Conmebol,3,0
IFFHS World Team Inclusion (20170),6,5
IFFHS Conmebol Team (20200),3,0
IFFHS UEFA Team (20200),0,2
CNID 0 Best Portuguese Athlete Abroad,0,10
Quinas de Ouro (Portugal Football Federation POTY),0,5
Quinas de Ouro (Highest Scorer ever for Portugal),0,1
Globo de Ouro Portuguese Sportsman of the Year,0,11
FPF Best Portuguese Player of all Time,0,1
Olimpia de Plata 0 Argentine Player of the Year,15,0
Olimpia de Oro 0 Argentine Sportsperson of the Year,3,0
Argentine Athlete of the Decade,1,0
Dubai Globe Soccer Awards Best Player of the Year,1,6
Dubai Globe Soccer Awards Best Player of the Century,0,1
Dubai Globe Soccer Top Goal Scorer of All Time,0,1
FIFA Club World Cup Golden Ball,2,1
FIFA Club World Cup Silver Ball,1,3
Marca Leyenda,1,1
Marca Champions League No 1 Award,0,1
FIFA U20 World Cup Golden Ball,1,0
FIFA U20 World Cup Golden Boot,1,0
